movieId,title,author,date,views,likes,link
67f4fdfebda6e4a3b703e061,Climate action needs new frontline leadership,Ozawa Bineshi Albert,December 2021,404000,12000,https://ted.com/talks/ozawa_bineshi_albert_climate_action_needs_new_frontline_leadership
67f4fdfebda6e4a3b703e062,The dark history of the overthrow of Hawaii,Sydney Iaukea,February 2022,214000,6400,https://ted.com/talks/sydney_iaukea_the_dark_history_of_the_overthrow_of_hawaii
67f4fdfebda6e4a3b703e063,How play can spark new ideas for your business,Martin Reeves,September 2021,412000,12000,https://ted.com/talks/martin_reeves_how_play_can_spark_new_ideas_for_your_business
67f4fdfebda6e4a3b703e064,Why is China appointing judges to combat climate change?,James K. Thornton,October 2021,427000,12000,https://ted.com/talks/james_k_thornton_why_is_china_appointing_judges_to_combat_climate_change
67f4fdfebda6e4a3b703e065,Cement's carbon problem — and 2 ways to fix it,Mahendra Singhi,October 2021,2400,72,https://ted.com/talks/mahendra_singhi_cement_s_carbon_problem_and_2_ways_to_fix_it
67f4fdfebda6e4a3b703e066,The tragedy of air pollution — and an urgent demand for clean air,Rosamund Adoo-Kissi-Debrah,October 2021,422000,12000,https://ted.com/talks/rosamund_adoo_kissi_debrah_the_tragedy_of_air_pollution_and_an_urgent_demand_for_clean_air
67f4fdfebda6e4a3b703e067,The myth of Narcissus and Echo,Iseult Gillespie,February 2022,412000,12000,https://ted.com/talks/iseult_gillespie_the_myth_of_narcissus_and_echo
67f4fdfebda6e4a3b703e068,You deserve the right to repair your stuff,Gay Gordon-Byrne,August 2021,455000,13000,https://ted.com/talks/gay_gordon_byrne_you_deserve_the_right_to_repair_your_stuff
67f4fdfebda6e4a3b703e069,What nature can teach us about sustainable business,Erin Meezan,February 2022,66000,1900,https://ted.com/talks/erin_meezan_what_nature_can_teach_us_about_sustainable_business
67f4fdfebda6e4a3b703e06a,The origins of blackface and Black stereotypes,Dwan Reece,March 2019,584000,17000,https://ted.com/talks/dwan_reece_the_origins_of_blackface_and_black_stereotypes
67f4fdfebda6e4a3b703e06b,A sex therapist's secret to rediscovering your spark,Ian Kerner,August 2021,87000,2600,https://ted.com/talks/ian_kerner_a_sex_therapist_s_secret_to_rediscovering_your_spark
67f4fdfebda6e4a3b703e06c,How do jetpacks work? And why don't we all have them?,Richard Browning,February 2022,213000,6400,https://ted.com/talks/richard_browning_how_do_jetpacks_work_and_why_don_t_we_all_have_them
67f4fdfebda6e4a3b703e06d,What regret can teach you about living a good life,Daniel H. Pink,January 2022,622000,18000,https://ted.com/talks/daniel_h_pink_what_regret_can_teach_you_about_living_a_good_life
67f4fdfebda6e4a3b703e06e,"How to fix the ""bugs"" in the net-zero code",Lucas Joppa,October 2021,526000,15000,https://ted.com/talks/lucas_joppa_how_to_fix_the_bugs_in_the_net_zero_code
67f4fdfebda6e4a3b703e06f,"""Big Yellow Taxi"" / ""Song for Sunshine""", Belle and Sebastian,October 2021,23000,690,https://ted.com/talks/belle_and_sebastian_big_yellow_taxi_song_for_sunshine
67f4fdfebda6e4a3b703e070,How film captures the space between hope and despair,Mounia Akl,December 2021,628000,18000,https://ted.com/talks/mounia_akl_how_film_captures_the_space_between_hope_and_despair
67f4fdfebda6e4a3b703e071,"What is ""normal"" and what is ""different""?",Yana Buhrer Tavanier,February 2022,459000,13000,https://ted.com/talks/yana_buhrer_tavanier_what_is_normal_and_what_is_different
67f4fdfebda6e4a3b703e072,The ocean's ingenious climate solutions,Susan Ruffo,October 2021,522000,15000,https://ted.com/talks/susan_ruffo_the_ocean_s_ingenious_climate_solutions
67f4fdfebda6e4a3b703e073,How we're reducing the climate impact of electronics,Tim Dunn,February 2022,96000,2900,https://ted.com/talks/tim_dunn_how_we_re_reducing_the_climate_impact_of_electronics
67f4fdfebda6e4a3b703e074,A vibrant dance performance of funk classics, Let It Happen,October 2021,4500,135,https://ted.com/talks/let_it_happen_a_vibrant_dance_performance_of_funk_classics
67f4fdfebda6e4a3b703e075,"""Dive In""",Dave Matthews,October 2021,1600,49,https://ted.com/talks/dave_matthews_dive_in
67f4fdfebda6e4a3b703e076,Got millet? How marketing could improve the lives of African farmers,Zoë Karl-Waithaka,September 2021,667000,20000,https://ted.com/talks/zoe_karl_waithaka_got_millet_how_marketing_could_improve_the_lives_of_african_farmers
67f4fdfebda6e4a3b703e077,The myth of Gawain and the Green Knight,Dan Kwartler,February 2022,456000,13000,https://ted.com/talks/dan_kwartler_the_myth_of_gawain_and_the_green_knight
